set,id,name,art_composition,value,tribes,tags,rarity,rules_text,design_role,e1_trigger,e1_conditions,e1_target,e1_primitive,e1_amount,e1_duration,e1_stack,e1_limits,e1_text_values,e2_trigger,e2_conditions,e2_target,e2_primitive,e2_amount,e2_duration,e2_stack,e2_limits,e2_text_values
briarpack,briarpack_wolfs_nap,1 Wolf's Nap,1 wolf sleeps in brambles.,1,Beast,Wolf,uncommon,"When revealed, gain {amount} Pack. Lower value wins this comparison.",Counter setup,onReveal,,player(self),addCounter,Pack: constant(10),instant,stack,,amount=constant(10),beforeCompare,,thisCard,reverseComparison,,thisComparison,replace,,
briarpack,briarpack_wolves_hunt,2 Wolves' Hunt,2 wolves track a deer.,2,Beast,Wolf,uncommon,Gets +{amount} if you have at least {threshold} Pack.,Counter payoff,beforeCompare,"counterCompare(self, Pack, gte, 1)",thisCard,modifyValue,constant(21),thisComparison,stack,,amount=constant(21); threshold=constant(1),,,,,,,,,
briarpack,briarpack_wolves_howl,3 Wolves' Howl,3 wolves howl on a ridge.,3,Beast,"Wolf, Eastbrook, Nature",uncommon,"Gets +{rate} for each Pack you have, currently +{amount}.",Scaling payoff,beforeCompare,,thisCard,modifyValue,"3 * (counter(self, Pack))",thisComparison,stack,,"amount=3 * (counter(self, Pack)); rate=constant(3)",,,,,,,,,
briarpack,briarpack_wolves_ambush,4 Wolves' Ambush,4 wolves surround a wagon.,4,Beast,Wolf,rare,"When revealed, gain {amount} Pack. With at least {threshold} Pack it also counts as a Spirit this round.",Counter setup and bridge,onReveal,,player(self),addCounter,Pack: constant(3),instant,stack,,amount=constant(3); threshold=constant(1),beforeCompare,"counterCompare(self, Pack, gte, 1)",thisCard,addTribe,Spirit,thisRound,unique,oncePerRound,
briarpack,briarpack_wolves_trail,5 Wolves' Trail,5 wolves cross a forest trail.,5,Beast,Wolf,rare,Gets +{amount} if you have at least {threshold} Pack.,Counter payoff,beforeCompare,"counterCompare(self, Pack, gte, 2)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4); threshold=constant(2),,,,,,,,,
briarpack,briarpack_wolves_moonrun,6 Wolves' Moonrun,6 wolves run beneath the moon.,6,Beast,"Wolf, Eastbrook, Nature",rare,"Gets +{rate} for each Pack you have, currently +{amount}.",Scaling payoff,beforeCompare,,thisCard,modifyValue,"counter(self, Pack)",thisComparison,stack,,"amount=counter(self, Pack); rate=constant(1)",,,,,,,,,
briarpack,briarpack_wolves_feast,7 Wolves' Feast,7 wolves circle a carcass.,7,Beast,Wolf,epic,"When revealed, gain {amount} Pack.",Counter setup,onReveal,,player(self),addCounter,Pack: constant(3),instant,stack,,amount=constant(3),,,,,,,,,
briarpack,briarpack_wolves_siege,8 Wolves' Siege,8 wolves attack a gate.,8,Beast,Wolf,epic,Gets +{amount} if you have at least {threshold} Pack.,Counter payoff,beforeCompare,"counterCompare(self, Pack, gte, 1)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4); threshold=constant(1),,,,,,,,,
briarpack,briarpack_wolves_overlook,9 Wolves' Overlook,9 wolves on snowy ridge.,9,Beast,"Wolf, Eastbrook, Nature",epic,"Gets +{rate} for each Pack you have, currently +{amount}.",Scaling payoff,beforeCompare,,thisCard,modifyValue,"3 * (counter(self, Pack))",thisComparison,stack,,"amount=3 * (counter(self, Pack)); rate=constant(3)",,,,,,,,,
briarpack,briarpack_wolves_wild_night,10 Wolves' Wild Night,10 wolves race through camp.,10,Beast,Wolf,legendary,"When revealed, gain {amount} Pack.",Large payoff with a counter cost,onReveal,,player(self),addCounter,Pack: constant(8),instant,stack,,amount=constant(8),,,,,,,,,
